t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7244,0.7244,327,0.0640654377639293
0,NY,0.3333333333333333,0.6826,0.6826,317,0.0640654377639293
0,TX,0.3333333333333333,0.68,0.68,356,0.0640654377639293
1,CA,0.3389817181049734,0.7224,0.7224,333,0.0382514894008636
1,NY,0.3307646943188519,0.6872,0.6872,344,0.0382514894008636
1,TX,0.3302535875761746,0.6858,0.6858,323,0.0382514894008636
2,CA,0.3437172490874946,0.739,0.739,324,0.038521846756339
2,NY,0.3285312965338268,0.6928,0.6928,337,0.038521846756339
2,TX,0.3277514543786785,0.6984,0.6984,339,0.038521846756339
3,CA,0.3494411013501172,0.7398,0.7398,361,0.038487346842885
3,NY,0.3251288247175604,0.6992,0.6992,306,0.038487346842885
3,TX,0.3254300739323224,0.7014,0.7014,333,0.038487346842885
4,CA,0.3546796999533113,0.7412,0.7412,361,0.038412557914853
4,NY,0.322301995161646,0.6958,0.6958,340,0.038412557914853
4,TX,0.3230183048850427,0.6952,0.6952,299,0.038412557914853
5,CA,0.3607905437053106,0.7168,0.7168,357,0.0382287390530109
5,NY,0.3193065152921491,0.6758,0.6758,328,0.0382287390530109
5,TX,0.3199029410025402,0.6784,0.6784,315,0.0382287390530109
6,CA,0.3662033569721447,0.7244,0.7244,355,0.0385000146925449
6,NY,0.3163569913451111,0.6818,0.6818,317,0.0385000146925449
6,TX,0.3174396516827442,0.6786,0.6786,328,0.0385000146925449
7,CA,0.3722511524342156,0.717,0.717,363,0.0373315420001745
7,NY,0.3136371511329507,0.6646,0.6646,310,0.0373315420001745
7,TX,0.3141116964328335,0.6606,0.6606,327,0.0373315420001745
8,CA,0.3798053382453415,0.729,0.729,373,0.0377949867397546
8,NY,0.3102359406210335,0.6854,0.6854,344,0.0377949867397546
8,TX,0.3099587211336249,0.687,0.687,283,0.0377949867397546
9,CA,0.3857272336251676,0.7314,0.7314,376,0.0380818024277687
9,NY,0.3071279517686114,0.69,0.69,315,0.0380818024277687
9,TX,0.307144814606221,0.6916,0.6916,309,0.0380818024277687
10,CA,0.3913645331765563,0.717,0.717,408,0.0381409619003534
10,NY,0.3041653917996558,0.6806,0.6806,266,0.0381409619003534
10,TX,0.304470075023788,0.6818,0.6818,326,0.0381409619003534
11,CA,0.3963948383678536,0.7404,0.7404,415,0.0375156812369823
11,NY,0.3015437886364053,0.6928,0.6928,294,0.0375156812369823
11,TX,0.3020613729957411,0.701,0.701,291,0.0375156812369823
12,CA,0.4024662189812427,0.7308,0.7308,415,0.0405444651842117
12,NY,0.2977888316287189,0.6804,0.6804,309,0.0405444651842117
12,TX,0.2997449493900384,0.68,0.68,276,0.0405444651842117
13,CA,0.4096219655281511,0.7274,0.7274,414,0.0380551125854253
13,NY,0.2942578080716679,0.6772,0.6772,289,0.0380551125854253
13,TX,0.2961202264001809,0.6862,0.6862,297,0.0380551125854253
14,CA,0.416119318008569,0.7176,0.7176,425,0.0376459881663322
14,NY,0.2902382019749127,0.6776,0.6776,299,0.0376459881663322
14,TX,0.2936424800165183,0.678,0.678,276,0.0376459881663322
15,CA,0.4218262943295524,0.717,0.717,432,0.039248663932085
15,NY,0.28736689185746,0.6794,0.6794,272,0.039248663932085
15,TX,0.2908068138129876,0.678,0.678,296,0.039248663932085
16,CA,0.4273382511486593,0.735,0.735,399,0.0381096005439758
16,NY,0.2847467035021051,0.6926,0.6926,309,0.0381096005439758
16,TX,0.2879150453492357,0.6922,0.6922,292,0.0381096005439758
17,CA,0.4334327969645518,0.7234,0.7234,450,0.0368932411074638
17,NY,0.2817497662564779,0.6866,0.6866,276,0.0368932411074638
17,TX,0.2848174367789702,0.683,0.683,274,0.0368932411074638
18,CA,0.4390050626610556,0.7222,0.7222,444,0.0372915025800466
18,NY,0.2792783886179121,0.6786,0.6786,272,0.0372915025800466
18,TX,0.2817165487210323,0.6804,0.6804,284,0.0372915025800466
19,CA,0.4451968427406225,0.7224,0.7224,438,0.0382061786949634
19,NY,0.2760473046600251,0.6776,0.6776,290,0.0382061786949634
19,TX,0.2787558525993524,0.6766,0.6766,272,0.0382061786949634
20,CA,0.4517895330538992,0.7296,0.7296,454,0.0377249382436275
20,NY,0.272848770428115,0.681,0.681,261,0.0377249382436275
20,TX,0.2753616965179856,0.68,0.68,285,0.0377249382436275
21,CA,0.4589320586771667,0.7204,0.7204,487,0.037963893264532
21,NY,0.2693743683499019,0.6786,0.6786,241,0.037963893264532
21,TX,0.2716935729729313,0.6804,0.6804,272,0.037963893264532
22,CA,0.4649117007400346,0.7482,0.7482,455,0.0372820738703012
22,NY,0.2662539957978657,0.7026,0.7026,283,0.0372820738703012
22,TX,0.2688343034620996,0.712,0.712,262,0.0372820738703012
23,CA,0.4708022452860504,0.717,0.717,462,0.0391092468053102
23,NY,0.262594542657493,0.6746,0.6746,275,0.0391092468053102
23,TX,0.2666032120564565,0.6726,0.6726,263,0.0391092468053102
24,CA,0.4771863683594716,0.7344,0.7344,456,0.0380247924476861
24,NY,0.2595828470307793,0.6884,0.6884,275,0.0380247924476861
24,TX,0.2632307846097491,0.6884,0.6884,269,0.0380247924476861
25,CA,0.4838961382389681,0.715,0.715,489,0.0374399702996015
25,NY,0.2562513708357617,0.6746,0.6746,252,0.0374399702996015
25,TX,0.2598524909252701,0.6696,0.6696,259,0.0374399702996015
26,CA,0.4902276088831291,0.7414,0.7414,504,0.0384689550846815
26,NY,0.253488796836837,0.6992,0.6992,256,0.0384689550846815
26,TX,0.2562835942800339,0.705,0.705,240,0.0384689550846815
27,CA,0.4959307700368769,0.7054,0.7054,491,0.0402625687420368
27,NY,0.2502234558489732,0.6596,0.6596,237,0.0402625687420368
27,TX,0.2538457741141496,0.659,0.659,272,0.0402625687420368
28,CA,0.5027819414574718,0.7134,0.7134,499,0.0384936556220054
28,NY,0.2468674329533386,0.6752,0.6752,233,0.0384936556220054
28,TX,0.2503506255891896,0.6716,0.6716,268,0.0384936556220054
29,CA,0.5086885332306165,0.7356,0.7356,525,0.0380618218332529
29,NY,0.2441990556576088,0.6944,0.6944,235,0.0380618218332529
29,TX,0.2471124111117746,0.7026,0.7026,240,0.0380618218332529
30,CA,0.5140840193747443,0.7198,0.7198,493,0.0372080244123935
30,NY,0.2409308635664847,0.6826,0.6826,257,0.0372080244123935
30,TX,0.244985117058771,0.6746,0.6746,250,0.0372080244123935
31,CA,0.5201437807427703,0.7126,0.7126,537,0.0371351055800914
31,NY,0.2384979681907072,0.6692,0.6692,229,0.0371351055800914
31,TX,0.2413582510665224,0.6616,0.6616,234,0.0371351055800914
32,CA,0.5271182896745572,0.742,0.742,505,0.037940664216876
32,NY,0.2355709835661116,0.6936,0.6936,238,0.037940664216876
32,TX,0.2373107267593311,0.701,0.701,257,0.037940664216876
33,CA,0.5335910292556117,0.7116,0.7116,542,0.0384507272392511
33,NY,0.2318381613010717,0.6732,0.6732,229,0.0384507272392511
33,TX,0.2345708094433164,0.6682,0.6682,229,0.0384507272392511
34,CA,0.5396072141627227,0.716,0.716,525,0.0382129605859518
34,NY,0.2291921451795959,0.682,0.682,233,0.0382129605859518
34,TX,0.2312006406576813,0.6764,0.6764,242,0.0382129605859518
35,CA,0.5449898073627447,0.722,0.722,511,0.0372207555919885
35,NY,0.2268919408935776,0.681,0.681,239,0.0372207555919885
35,TX,0.2281182517436777,0.6834,0.6834,250,0.0372207555919885
36,CA,0.5507816293396534,0.7262,0.7262,547,0.0383591074496507
36,NY,0.2238436109151602,0.6892,0.6892,226,0.0383591074496507
36,TX,0.2253747597451864,0.699,0.699,227,0.0383591074496507
37,CA,0.5554189389456538,0.7116,0.7116,564,0.0384354460984468
37,NY,0.2208899218100096,0.6682,0.6682,215,0.0384354460984468
37,TX,0.2236911392443366,0.6602,0.6602,221,0.0384354460984468
38,CA,0.5623462014707795,0.73,0.73,568,0.038464605808258
38,NY,0.2179740642715854,0.6828,0.6828,208,0.038464605808258
38,TX,0.2196797342576349,0.6832,0.6832,224,0.038464605808258
39,CA,0.5691128504262465,0.7292,0.7292,567,0.0381805412471294
39,NY,0.214578323713093,0.6874,0.6874,231,0.0381805412471294
39,TX,0.2163088258606604,0.6902,0.6902,202,0.0381805412471294
