t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7736,0.7736,353,0.05672536790370941
0,NY,0.3333333333333333,0.753,0.753,324,0.05672536790370941
0,TX,0.3333333333333333,0.7654,0.7654,323,0.05672536790370941
1,CA,0.3351473922902494,0.7784,0.7784,321,0.039213478565216064
1,NY,0.33125472411186696,0.7542,0.7542,319,0.039213478565216064
1,TX,0.3335978835978836,0.7686,0.7686,360,0.039213478565216064
2,CA,0.33728780117640317,0.776,0.776,331,0.03828379511833191
2,NY,0.3288338574977653,0.7552,0.7552,333,0.03828379511833191
2,TX,0.3338783413258315,0.7738,0.7738,336,0.03828379511833191
3,CA,0.33873242565888173,0.7748,0.7748,330,0.0385701060295105
3,NY,0.3263745709184318,0.7552,0.7552,324,0.0385701060295105
3,TX,0.33489300342268646,0.7692,0.7692,346,0.0385701060295105
4,CA,0.34031865081539014,0.775,0.775,331,0.0384453684091568
4,NY,0.32428173112063285,0.7564,0.7564,306,0.0384453684091568
4,TX,0.33539961806397706,0.7666,0.7666,363,0.0384453684091568
5,CA,0.34202375910554916,0.7806,0.7806,344,0.0410400927066803
5,NY,0.32249135638445864,0.7612,0.7612,323,0.0410400927066803
5,TX,0.33548488450999225,0.7636,0.7636,333,0.0410400927066803
6,CA,0.3443365293338472,0.7784,0.7784,331,0.037794917821884155
6,NY,0.3211346800336057,0.7552,0.7552,346,0.037794917821884155
6,TX,0.3345287906325471,0.7666,0.7666,323,0.037794917821884155
7,CA,0.3465576168481118,0.7736,0.7736,361,0.03845895081758499
7,NY,0.3189897437643499,0.7464,0.7464,323,0.03845895081758499
7,TX,0.3344526393875382,0.7594,0.7594,316,0.03845895081758499
8,CA,0.3492009888915229,0.774,0.774,331,0.03765275329351425
8,NY,0.31649348809550437,0.7546,0.7546,326,0.03765275329351425
8,TX,0.3343055230129727,0.7656,0.7656,343,0.03765275329351425
9,CA,0.35097130478389954,0.7754,0.7754,344,0.038898490369319916
9,NY,0.3146193530154928,0.754,0.754,311,0.038898490369319916
9,TX,0.33440934220060764,0.7656,0.7656,345,0.038898490369319916
10,CA,0.3529613726744547,0.7736,0.7736,369,0.0375334694981575
10,NY,0.3125894933860707,0.7516,0.7516,312,0.0375334694981575
10,TX,0.3344491339394747,0.7612,0.7612,319,0.0375334694981575
11,CA,0.3551689910844694,0.774,0.774,349,0.03842934966087341
11,NY,0.3106429450529216,0.7552,0.7552,308,0.03842934966087341
11,TX,0.33418806386260896,0.7636,0.7636,343,0.03842934966087341
12,CA,0.35704390293203314,0.776,0.776,362,0.03872270882129669
12,NY,0.3089733838606879,0.7562,0.7562,308,0.03872270882129669
12,TX,0.33398271320727907,0.7662,0.7662,330,0.03872270882129669
13,CA,0.3589418287879761,0.7766,0.7766,380,0.037927038967609406
13,NY,0.3071528367017991,0.752,0.752,306,0.037927038967609406
13,TX,0.3339053345102247,0.766,0.766,314,0.037927038967609406
14,CA,0.36119760733035733,0.7714,0.7714,350,0.037893347442150116
14,NY,0.30480337269604635,0.7528,0.7528,290,0.037893347442150116
14,TX,0.33399901997359643,0.7688,0.7688,360,0.037893347442150116
