t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.7344,0.7344,353,0.061557967215776443
0,NY,0.3333333333333333,0.6974,0.6974,324,0.061557967215776443
0,TX,0.3333333333333333,0.6986,0.6986,323,0.061557967215776443
1,CA,0.33806330890378916,0.7298,0.7298,324,0.03953167051076889
1,NY,0.33085139560268206,0.692,0.692,319,0.03953167051076889
1,TX,0.3310852954935287,0.6896,0.6896,357,0.03953167051076889
2,CA,0.3431850575456723,0.74,0.74,337,0.038657378405332565
2,NY,0.32852450461767146,0.7,0.7,331,0.038657378405332565
2,TX,0.3282904378366563,0.7066,0.7066,332,0.038657378405332565
3,CA,0.34800632128211734,0.737,0.737,338,0.03851417824625969
3,NY,0.32548142196161695,0.6936,0.6936,323,0.03851417824625969
3,TX,0.32651225675626583,0.6982,0.6982,339,0.03851417824625969
4,CA,0.3534586951994874,0.7116,0.7116,343,0.038946934044361115
4,NY,0.32232112372640576,0.677,0.677,306,0.038946934044361115
4,TX,0.32422018107410694,0.673,0.673,351,0.038946934044361115
5,CA,0.35841468703086804,0.7196,0.7196,360,0.03864815831184387
5,NY,0.3202334403656429,0.6742,0.6742,320,0.03864815831184387
5,TX,0.321351872603489,0.6726,0.6726,320,0.03864815831184387
6,CA,0.36470133902287133,0.694,0.694,352,0.038856130093336105
6,NY,0.3172474517537342,0.6568,0.6568,341,0.038856130093336105
6,TX,0.3180512092233945,0.6452,0.6452,307,0.038856130093336105
7,CA,0.3706800325001607,0.7096,0.7096,386,0.03958849981427193
7,NY,0.31536729774954503,0.678,0.678,297,0.03958849981427193
7,TX,0.31395266975029423,0.6732,0.6732,317,0.03958849981427193
8,CA,0.37537740642307665,0.7028,0.7028,357,0.038975927978754044
8,NY,0.3134606581255602,0.668,0.668,322,0.038975927978754044
8,TX,0.3111619354513631,0.662,0.662,321,0.038975927978754044
9,CA,0.38065394744954145,0.724,0.724,374,0.03819699212908745
9,NY,0.3113706364657011,0.6866,0.6866,322,0.03819699212908745
9,TX,0.3079754160847574,0.6828,0.6828,304,0.03819699212908745
