t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.43,0.43,353,177.9926182962954
0,NY,0.3333333333333333,0.4,0.4,324,177.9926182962954
0,TX,0.3333333333333333,0.45,0.45,323,177.9926182962954
1,CA,0.3341121495327103,0.43,0.43,320,179.68752647936344
1,NY,0.32710280373831774,0.4,0.4,315,179.68752647936344
1,TX,0.338785046728972,0.45,0.45,365,179.68752647936344
2,CA,0.33482332907620266,0.43,0.43,345,179.75562902539968
2,NY,0.32092216000261975,0.4,0.4,303,179.75562902539968
2,TX,0.3442545109211776,0.45,0.45,352,179.75562902539968
3,CA,0.33546671543056006,0.43,0.43,343,179.2142656389624
3,NY,0.31479326434190763,0.4,0.4,320,179.2142656389624
3,TX,0.3497400202275322,0.45,0.45,337,179.2142656389624
4,CA,0.3360422165192234,0.43,0.43,361,179.92995945177972
4,NY,0.3087179157275726,0.4,0.4,319,179.92995945177972
4,TX,0.355239867753204,0.45,0.45,320,179.92995945177972
5,CA,0.33654980425637615,0.43,0.43,364,179.4514098186046
5,NY,0.3026978479794383,0.4,0.4,309,179.4514098186046
5,TX,0.3607523477641855,0.45,0.45,327,179.4514098186046
6,CA,0.3369895139440198,0.43,0.43,337,178.9576994664967
6,NY,0.296734728030124,0.4,0.4,326,178.9576994664967
6,TX,0.36627575802585616,0.45,0.45,337,178.9576994664967
7,CA,0.3373614435360956,0.43,0.43,321,179.6905586645007
7,NY,0.2908301543636286,0.4,0.4,305,179.6905586645007
7,TX,0.3718084021002758,0.45,0.45,374,179.6905586645007
8,CA,0.3376657527741513,0.43,0.43,356,178.82792102731764
8,NY,0.2849856556299321,0.4,0.4,282,178.82792102731764
8,TX,0.3773485915959166,0.45,0.45,362,178.82792102731764
9,CA,0.33790266219948756,0.43,0.43,369,179.16452657617629
9,NY,0.2792026894366525,0.4,0.4,267,179.16452657617629
9,TX,0.38289464836385995,0.45,0.45,364,179.16452657617629
10,CA,0.33807245204712266,0.43,0.43,352,179.94499587081373
10,NY,0.2734826413180411,0.4,0.4,256,179.94499587081373
10,TX,0.3884449066348362,0.45,0.45,392,179.94499587081373
11,CA,0.33817546102727786,0.43,0.43,335,179.478638978675
11,NY,0.26782682388087153,0.4,0.4,281,179.478638978675
11,TX,0.3939977150918507,0.45,0.45,384,179.478638978675
12,CA,0.33821208500041167,0.43,0.43,348,179.2737256474793
12,NY,0.262236476126062,0.4,0.4,278,179.2737256474793
12,TX,0.3995514388735264,0.45,0.45,374,179.2737256474793
13,CA,0.33818277555211634,0.43,0.43,324,178.90928001329303
13,NY,0.2567127629441873,0.4,0.4,259,178.90928001329303
13,TX,0.40510446150369633,0.45,0.45,417,178.90928001329303
14,CA,0.3380880384744338,0.43,0.43,333,179.70735232159495
14,NY,0.25125677478237746,0.4,0.4,277,179.70735232159495
14,TX,0.4106551867431887,0.45,0.45,390,179.70735232159495
15,CA,0.3379284321603523,0.43,0.43,314,179.4413605760783
15,NY,0.24586952747947577,0.4,0.4,274,179.4413605760783
15,TX,0.4162020403601719,0.45,0.45,412,179.4413605760783
16,CA,0.33770456591840603,0.43,0.43,335,178.94407615996897
16,NY,0.24055196226574083,0.4,0.4,236,178.94407615996897
16,TX,0.4217434718158532,0.45,0.45,429,178.94407615996897
17,CA,0.33741709821442356,0.43,0.43,343,179.2677444461733
17,NY,0.23530494592282206,0.4,0.4,202,179.2677444461733
17,TX,0.42727795586275436,0.45,0.45,455,179.2677444461733
18,CA,0.3370667348475499,0.43,0.43,343,179.5074729975313
18,NY,0.2301292710992304,0.4,0.4,217,179.5074729975313
18,TX,0.4328039940532196,0.45,0.45,440,179.5074729975313
19,CA,0.3366542270677114,0.43,0.43,355,179.69581594876945
19,NY,0.2250256567760525,0.4,0.4,194,179.69581594876945
19,TX,0.4383201161562361,0.45,0.45,451,179.69581594876945
20,CA,0.33618036964169695,0.43,0.43,344,179.5561996102333
20,NY,0.21999474887723242,0.4,0.4,219,179.5561996102333
20,TX,0.44382488148107074,0.45,0.45,437,179.5561996102333
21,CA,0.33564599887499674,0.43,0.43,339,179.5507328696549
21,NY,0.21503712101836137,0.4,0.4,216,179.5507328696549
21,TX,0.4493168801066419,0.45,0.45,445,179.5507328696549
22,CA,0.3350519905964748,0.43,0.43,357,180.28690856322646
22,NY,0.21015327538757822,0.4,0.4,210,180.28690856322646
22,TX,0.45479473401594706,0.45,0.45,433,180.28690856322646
23,CA,0.33439925811284993,0.43,0.43,336,179.7342127878219
23,NY,0.2053436437518907,0.4,0.4,193,179.7342127878219
23,TX,0.46025709813525933,0.45,0.45,471,179.7342127878219
24,CA,0.33368875013983385,0.43,0.43,313,179.93008109554648
24,NY,0.2006085885819807,0.4,0.4,215,179.93008109554648
24,TX,0.46570266127818544,0.45,0.45,472,179.93008109554648
25,CA,0.3329214487166121,0.43,0.43,316,179.83628519997
25,NY,0.19594840428835125,0.4,0.4,203,179.83628519997
25,TX,0.4711301469950366,0.45,0.45,481,179.83628519997
26,CA,0.3320983671101727,0.43,0.43,333,179.51429498754442
26,NY,0.1913633185615164,0.4,0.4,180,179.51429498754442
26,TX,0.47653831432831095,0.45,0.45,487,179.51429498754442
27,CA,0.3312205477157756,0.43,0.43,330,179.51310158893466
27,NY,0.18685349380881455,0.4,0.4,188,179.51310158893466
27,TX,0.4819259584754099,0.45,0.45,482,179.51310158893466
28,CA,0.33028905995962793,0.43,0.43,343,179.97055395506322
28,NY,0.18241902868035367,0.4,0.4,182,179.97055395506322
28,TX,0.4872919113600185,0.45,0.45,475,179.97055395506322
29,CA,0.3293049982095791,0.43,0.43,338,179.54310611635447
29,NY,0.1780599596765576,0.4,0.4,161,179.54310611635447
29,TX,0.4926350421138632,0.45,0.45,501,179.54310611635447
30,CA,0.32826947969938436,0.43,0.43,338,179.22814662382007
30,NY,0.1737762628297876,0.4,0.4,170,179.22814662382007
30,TX,0.4979542574708281,0.45,0.45,492,179.22814662382007
31,CA,0.32718364247180437,0.43,0.43,327,179.573195932433
31,NY,0.16956785545254885,0.4,0.4,169,179.573195932433
31,TX,0.5032485020756468,0.45,0.45,504,179.573195932433
32,CA,0.32604864334551825,0.43,0.43,331,180.0053564235568
