t,state,p,acc,fitness,sample_count,step_seconds
0,CA,0.3333333333333333,0.5882,0.5882,336,0.03799418359994888
0,NY,0.3333333333333333,0.5932,0.5932,334,0.03799418359994888
0,TX,0.3333333333333333,0.626,0.626,330,0.03799418359994888
1,CA,0.33036568623372303,0.5682,0.5682,301,0.03304070234298706
1,NY,0.33140574946956775,0.6012,0.6012,345,0.03304070234298706
1,TX,0.3382285642967092,0.5986,0.5986,354,0.03304070234298706
2,CA,0.32595534576766627,0.5838,0.5838,329,0.03306858241558075
2,NY,0.33386227311109123,0.5946,0.5946,317,0.03306858241558075
2,TX,0.34018238112124255,0.6182,0.6182,354,0.03306858241558075
3,CA,0.32283503115359385,0.575,0.575,295,0.03307381272315979
3,NY,0.33292109426670424,0.598,0.598,350,0.03307381272315979
3,TX,0.3442438745797019,0.612,0.612,355,0.03307381272315979
4,CA,0.3187081734088665,0.591,0.591,328,0.03269299864768982
4,NY,0.33346486140826137,0.5934,0.5934,330,0.03269299864768982
4,TX,0.34782696518287215,0.625,0.625,342,0.03269299864768982
5,CA,0.31619876900394817,0.5872,0.5872,289,0.03306780010461807
5,NY,0.3313383337944939,0.5944,0.5944,341,0.03306780010461807
5,TX,0.3524628972015579,0.6244,0.6244,370,0.03306780010461807
6,CA,0.3131412900055546,0.5918,0.5918,328,0.03292883187532425
6,NY,0.3296229762027594,0.593,0.593,327,0.03292883187532425
6,TX,0.35723573379168605,0.6266,0.6266,345,0.03292883187532425
7,CA,0.31063804632698244,0.5948,0.5948,287,0.0331319123506546
7,NY,0.32723448265332017,0.591,0.591,341,0.0331319123506546
7,TX,0.3621274710196973,0.6272,0.6272,372,0.0331319123506546
8,CA,0.30860824486739363,0.5876,0.5876,311,0.03297314792871475
8,NY,0.32432161406170573,0.5946,0.5946,312,0.03297314792871475
8,TX,0.3670701410709006,0.626,0.626,377,0.03297314792871475
9,CA,0.30545942216388217,0.5822,0.5822,302,0.033117443323135376
9,NY,0.3224278619955872,0.5932,0.5932,330,0.033117443323135376
9,TX,0.3721127158405308,0.6238,0.6238,368,0.033117443323135376
10,CA,0.30182979668069754,0.5872,0.5872,309,0.03297743201255798
10,NY,0.3208116022976134,0.5954,0.5954,315,0.03297743201255798
10,TX,0.377358601021689,0.6252,0.6252,376,0.03297743201255798
11,CA,0.2986367835595357,0.5918,0.5918,295,0.03267844766378403
11,NY,0.3190576686625957,0.593,0.593,332,0.03267844766378403
11,TX,0.38230554777786857,0.626,0.626,373,0.03267844766378403
12,CA,0.2961331544850236,0.594,0.594,282,0.03289195895195007
12,NY,0.3166213500697408,0.5916,0.5916,317,0.03289195895195007
12,TX,0.38724549544523557,0.6274,0.6274,401,0.03289195895195007
13,CA,0.29388859265479894,0.5872,0.5872,297,0.03281870484352112
13,NY,0.31374839014305544,0.5944,0.5944,331,0.03281870484352112
13,TX,0.3923630172021456,0.6244,0.6244,372,0.03281870484352112
14,CA,0.2908005058925265,0.587,0.587,321,0.033060476183891296
14,NY,0.31185992171252086,0.5942,0.5942,315,0.033060476183891296
14,TX,0.3973395723949526,0.625,0.625,364,0.033060476183891296
15,CA,0.2876567107420982,0.5822,0.5822,298,0.03309478610754013
15,NY,0.3098880263329305,0.5932,0.5932,312,0.03309478610754013
15,TX,0.4024552629249713,0.6238,0.6238,390,0.03309478610754013
16,CA,0.2840391862252517,0.5936,0.5936,275,0.03290809690952301
16,NY,0.3081182787907124,0.592,0.592,315,0.03290809690952301
16,TX,0.40784253498403583,0.6264,0.6264,410,0.03290809690952301
17,CA,0.2817611491201263,0.5916,0.5916,279,0.03296763449907303
17,NY,0.3053402491099918,0.593,0.593,310,0.03296763449907303
17,TX,0.41289860176988197,0.626,0.626,411,0.03296763449907303
18,CA,0.27919458183867335,0.5804,0.5804,286,0.03365743160247803
18,NY,0.30282503564276475,0.591,0.591,314,0.03365743160247803
18,TX,0.417980382518562,0.6234,0.6234,400,0.03365743160247803
19,CA,0.27550185602903915,0.5948,0.5948,277,0.03636130690574646
19,NY,0.30082399792948644,0.591,0.591,299,0.03636130690574646
19,TX,0.42367414604147435,0.6272,0.6272,424,0.03636130690574646
20,CA,0.27334500298911446,0.5936,0.5936,296,0.03305111825466156
20,NY,0.29775772756521174,0.592,0.592,278,0.03305111825466156
20,TX,0.42889726944567386,0.6264,0.6264,426,0.03305111825466156
21,CA,0.2710334263018532,0.5948,0.5948,284,0.03278423845767975
21,NY,0.29494327617301636,0.591,0.591,295,0.03278423845767975
21,TX,0.4340232975251306,0.6272,0.6272,421,0.03278423845767975
22,CA,0.26885173352906916,0.587,0.587,274,0.032844915986061096
22,NY,0.2918720029596142,0.5942,0.5942,277,0.032844915986061096
22,TX,0.43927626351131666,0.625,0.625,449,0.032844915986061096
23,CA,0.26570513239683513,0.5896,0.5896,264,0.032820604741573334
23,NY,0.28976466093820047,0.5922,0.5922,293,0.032820604741573334
23,TX,0.4445302066649644,0.6258,0.6258,443,0.032820604741573334
24,CA,0.2629189160713418,0.5948,0.5948,244,0.032868824899196625
24,NY,0.28719513182973805,0.591,0.591,287,0.032868824899196625
24,TX,0.4498859520989202,0.6272,0.6272,469,0.032868824899196625
25,CA,0.260714423691403,0.5948,0.5948,279,0.03278739005327225
25,NY,0.2841085163105593,0.591,0.591,296,0.03278739005327225
25,TX,0.45517705999803765,0.6272,0.6272,425,0.03278739005327225
26,CA,0.25849897588913257,0.594,0.594,263,0.03297965228557587
26,NY,0.2810230694647955,0.592,0.592,292,0.03297965228557587
26,TX,0.460477954646072,0.627,0.627,445,0.03297965228557587
27,CA,0.25614741305873845,0.5936,0.5936,243,0.032941319048404694
27,NY,0.27811721167818604,0.592,0.592,284,0.032941319048404694
27,TX,0.4657353752630755,0.6266,0.6266,473,0.032941319048404694
28,CA,0.2537708150042603,0.5948,0.5948,255,0.032945118844509125
28,NY,0.2752601291379565,0.591,0.591,265,0.032945118844509125
28,TX,0.4709690558577832,0.6272,0.6272,480,0.032945118844509125
29,CA,0.2515291007056804,0.592,0.592,239,0.03288888931274414
29,NY,0.27217850580418423,0.5928,0.5928,295,0.03288888931274414
29,TX,0.47629239349013536,0.6254,0.6254,466,0.03288888931274414
30,CA,0.24900682598627838,0.5948,0.5948,258,0.0328114777803421
30,NY,0.26958456529230135,0.591,0.591,264,0.0328114777803421
30,TX,0.4814086087214204,0.6272,0.6272,478,0.0328114777803421
31,CA,0.24675201609321099,0.592,0.592,258,0.032920852303504944
31,NY,0.2665068852248415,0.5926,0.5926,255,0.032920852303504944
31,TX,0.4867410986819475,0.6272,0.6272,487,0.032920852303504944
32,CA,0.2441004609134987,0.5918,0.5918,242,0.03270697593688965
32,NY,0.263742410540393,0.5926,0.5926,267,0.03270697593688965
32,TX,0.49215712854610827,0.6272,0.6272,491,0.03270697593688965
33,CA,0.24142603492477754,0.5918,0.5918,277,0.03302547335624695
33,NY,0.26098388068565953,0.5926,0.5926,258,0.03302547335624695
33,TX,0.4975900843895628,0.6256,0.6256,465,0.03302547335624695
34,CA,0.23887085628127092,0.5922,0.5922,215,0.03284868597984314
34,NY,0.2583514837943543,0.5926,0.5926,273,0.03284868597984314
34,TX,0.5027776599243747,0.6266,0.6266,512,0.03284868597984314
35,CA,0.2362887917225355,0.5924,0.5924,252,0.03282160311937332
35,NY,0.2556230469041761,0.5934,0.5934,267,0.03282160311937332
35,TX,0.5080881613732884,0.627,0.627,481,0.03282160311937332
36,CA,0.23367158291288534,0.5848,0.5848,261,0.03287459909915924
36,NY,0.2529504346773506,0.5954,0.5954,244,0.03287459909915924
36,TX,0.513377982409764,0.6252,0.6252,495,0.03287459909915924
37,CA,0.2302684475753185,0.5872,0.5872,234,0.032989732921123505
37,NY,0.2509337563147557,0.5948,0.5948,254,0.032989732921123505
37,TX,0.5187977961099258,0.6256,0.6256,512,0.032989732921123505
38,CA,0.22714450482611467,0.5882,0.5882,233,0.03297179937362671
38,NY,0.24871470402560444,0.5932,0.5932,273,0.03297179937362671
38,TX,0.5241407911482809,0.626,0.626,494,0.03297179937362671
39,CA,0.22417246303450697,0.5932,0.5932,234,0.03289441019296646
39,NY,0.24623319282740552,0.592,0.592,259,0.03289441019296646
39,TX,0.5295943441380875,0.6266,0.6266,507,0.03289441019296646
40,CA,0.22175159986358586,0.5948,0.5948,211,0.032928258180618286
40,NY,0.24339063312431525,0.591,0.591,253,0.032928258180618286
40,TX,0.534857767012099,0.6272,0.6272,536,0.032928258180618286
41,CA,0.21949383201955042,0.5916,0.5916,231,0.034870073199272156
41,NY,0.24033851417337537,0.5934,0.5934,235,0.034870073199272156
41,TX,0.5401676538070742,0.6252,0.6252,534,0.034870073199272156
42,CA,0.21696077240383674,0.5946,0.5946,191,0.0335298627614975
42,NY,0.2378335683859207,0.591,0.591,221,0.0335298627614975
42,TX,0.5452056592102426,0.6272,0.6272,588,0.0335298627614975
43,CA,0.21468314609853065,0.5948,0.5948,226,0.032760441303253174
43,NY,0.2348055211602439,0.591,0.591,218,0.032760441303253174
43,TX,0.5505113327412254,0.6272,0.6272,556,0.032760441303253174
44,CA,0.21242617708082354,0.5802,0.5802,216,0.03302730619907379
44,NY,0.23178340554937693,0.5918,0.5918,226,0.03302730619907379
44,TX,0.5557904173697995,0.6232,0.6232,558,0.03302730619907379
45,CA,0.2089111400041335,0.594,0.594,212,0.03306291997432709
45,NY,0.2296213934114699,0.5916,0.5916,223,0.03306291997432709
45,TX,0.5614674665843966,0.6274,0.6274,565,0.03306291997432709
46,CA,0.2065525121972793,0.57,0.57,205,0.03294580429792404
46,NY,0.22668711949636847,0.6016,0.6016,196,0.03294580429792404
46,TX,0.5667603683063521,0.5998,0.5998,599,0.03294580429792404
47,CA,0.203435827129299,0.5878,0.5878,188,0.03281800448894501
47,NY,0.2277603960004933,0.5936,0.5936,225,0.03281800448894501
47,TX,0.5688037768702078,0.6264,0.6264,587,0.03281800448894501
48,CA,0.20049658655700558,0.5942,0.5942,212,0.03313026577234268
48,NY,0.2252896689574546,0.5914,0.5914,256,0.03313026577234268
48,TX,0.5742137444855399,0.6274,0.6274,532,0.03313026577234268
49,CA,0.1982048249002954,0.5948,0.5948,205,0.03296246379613876
49,NY,0.22232334339381493,0.591,0.591,218,0.03296246379613876
49,TX,0.5794718317058897,0.6272,0.6272,577,0.03296246379613876
50,CA,0.19600121735009227,0.5948,0.5948,221,0.03317318111658096
50,NY,0.21932774021544837,0.591,0.591,202,0.03317318111658096
50,TX,0.5846710424344592,0.6272,0.6272,577,0.03317318111658096
51,CA,0.1938004981772151,0.5942,0.5942,213,0.03306454420089722
51,NY,0.2163483747417269,0.5914,0.5914,231,0.03306454420089722
51,TX,0.5898511270810579,0.6274,0.6274,556,0.03306454420089722
52,CA,0.19152064540411592,0.5784,0.5784,217,0.03299224376678467
52,NY,0.21342775367104802,0.5926,0.5926,205,0.03299224376678467
52,TX,0.5950516009248361,0.6188,0.6188,578,0.03299224376678467
53,CA,0.1882913064923509,0.5946,0.5946,202,0.03313436359167099
53,NY,0.21171674329024406,0.591,0.591,210,0.03313436359167099
53,TX,0.599991950217405,0.6272,0.6272,588,0.03313436359167099
54,CA,0.18609754054353156,0.5948,0.5948,195,0.03318893909454346
54,NY,0.2087776425905953,0.591,0.591,227,0.03318893909454346
54,TX,0.6051248168658732,0.6272,0.6272,578,0.03318893909454346
55,CA,0.18392787790868545,0.5698,0.5698,195,0.03300084173679352
55,NY,0.20585189470865092,0.6022,0.6022,207,0.03300084173679352
55,TX,0.6102202273826636,0.602,0.602,598,0.03300084173679352
56,CA,0.18089505752907248,0.579,0.579,207,0.03308604657649994
56,NY,0.20663620268876004,0.5952,0.5952,212,0.03308604657649994
56,TX,0.6124687397821675,0.6176,0.6176,581,0.03308604657649994
57,CA,0.1778550982840064,0.5924,0.5924,179,0.03301314264535904
57,NY,0.20524805064775312,0.5926,0.5926,214,0.03301314264535904
57,TX,0.6168968510682404,0.6272,0.6272,607,0.03301314264535904
58,CA,0.17548476895139328,0.5946,0.5946,183,0.032890647649765015
58,NY,0.20253808195121073,0.5912,0.5912,196,0.032890647649765015
58,TX,0.621977149097396,0.6272,0.6272,621,0.032890647649765015
59,CA,0.17335529864314841,0.591,0.591,175,0.03307937830686569
